max_depth,num_rounds_boosting,train_mse,val_mse
4,1,0.456981,0.456403
4,2,0.389902,0.389913
4,3,0.34375,0.344275
4,4,0.314139,0.315438
4,5,0.296932,0.299191
4,6,0.286051,0.289146
4,7,0.277247,0.281073
4,8,0.271375,0.27557
4,9,0.267316,0.272024
4,10,0.263616,0.268901
4,11,0.261089,0.266653
4,12,0.258431,0.264437
4,13,0.255918,0.261968
4,14,0.253585,0.260092
4,15,0.251948,0.258824
4,16,0.25054,0.257527
4,17,0.249474,0.256863
4,18,0.247643,0.25533
4,19,0.246413,0.254202
4,20,0.245189,0.253367
4,21,0.24444,0.252707
4,22,0.243686,0.252019
4,23,0.24262,0.251461
4,24,0.241305,0.250352
4,25,0.240417,0.249703
4,26,0.239734,0.249131
4,27,0.239079,0.248537
4,28,0.238338,0.24801
4,29,0.237677,0.247346
4,30,0.236754,0.246417
4,31,0.236215,0.246039
4,32,0.235772,0.245712
4,33,0.235219,0.245479
4,34,0.234708,0.245106
4,35,0.234231,0.244617
4,36,0.233433,0.244704
4,37,0.232777,0.24423
4,38,0.232002,0.243339
4,39,0.231095,0.242632
4,40,0.230565,0.242201
4,41,0.230225,0.241878
4,42,0.229723,0.241501
4,43,0.228626,0.241574
4,44,0.228254,0.241186
4,45,0.227669,0.240789
4,46,0.227071,0.240379
4,47,0.226723,0.240034
4,48,0.22632,0.239692
4,49,0.225928,0.239283
4,50,0.225054,0.238484
4,51,0.224377,0.237908
4,52,0.2242,0.237709
4,53,0.223946,0.237515
4,54,0.223761,0.237453
4,55,0.223556,0.237241
4,56,0.223254,0.237003
4,57,0.223089,0.236905
4,58,0.222746,0.236678
4,59,0.2222,0.236371
4,60,0.222006,0.236232
4,61,0.221574,0.236007
4,62,0.221197,0.235726
4,63,0.220899,0.235592
4,64,0.220299,0.235463
4,65,0.22008,0.235256
4,66,0.219731,0.23487
4,67,0.219056,0.234477
4,68,0.218496,0.233915
4,69,0.218128,0.233698
4,70,0.217891,0.233592
4,71,0.217507,0.233425
4,72,0.217259,0.23325
4,73,0.217102,0.233179
4,74,0.216981,0.233044
4,75,0.216389,0.232683
4,76,0.215764,0.232258
4,77,0.215538,0.232106
4,78,0.215299,0.231924
4,79,0.214995,0.23168
4,80,0.214633,0.231613
4,81,0.214011,0.231519
4,82,0.213567,0.231115
4,83,0.213344,0.230957
4,84,0.213139,0.230827
4,85,0.212582,0.230409
4,86,0.212503,0.230385
4,87,0.212328,0.230214
4,88,0.212177,0.230093
4,89,0.21205,0.230032
4,90,0.211931,0.229955
4,91,0.211673,0.229736
4,92,0.211539,0.229684
4,93,0.211467,0.229637
4,94,0.211117,0.228958
4,95,0.21105,0.228869
4,96,0.210822,0.228598
4,97,0.210715,0.228507
4,98,0.210507,0.228358
4,99,0.210245,0.227924
4,100,0.209838,0.227558
6,1,0.443527,0.443189
6,2,0.369518,0.370557
6,3,0.321312,0.323907
6,4,0.293043,0.296872
6,5,0.275633,0.2814
6,6,0.261891,0.269751
6,7,0.25382,0.264006
6,8,0.247071,0.258156
6,9,0.242018,0.253802
6,10,0.23844,0.250969
6,11,0.235144,0.248066
6,12,0.232566,0.246088
6,13,0.229514,0.24349
6,14,0.227979,0.242418
6,15,0.226618,0.241468
6,16,0.225089,0.240325
6,17,0.223905,0.23936
6,18,0.222313,0.238264
6,19,0.220725,0.237217
6,20,0.219306,0.236784
6,21,0.218331,0.236184
6,22,0.216844,0.235068
6,23,0.215806,0.234439
6,24,0.214758,0.233733
6,25,0.213746,0.233061
6,26,0.212904,0.232403
6,27,0.211799,0.231612
6,28,0.211202,0.231222
6,29,0.210892,0.23104
6,30,0.210254,0.230636
6,31,0.209355,0.23
6,32,0.208791,0.22955
6,33,0.208289,0.229207
6,34,0.207531,0.228495
6,35,0.206724,0.228259
6,36,0.205957,0.227917
6,37,0.205137,0.227525
6,38,0.204489,0.226996
6,39,0.203546,0.226379
6,40,0.202768,0.225769
6,41,0.202083,0.225425
6,42,0.201725,0.225298
6,43,0.201139,0.224816
6,44,0.200435,0.224399
6,45,0.20005,0.224076
6,46,0.199681,0.2241
