saleno,address,price,neighborhood,borough,status,date,num_beds,num_baths,num_sqft,type,url,monthly_cost,amenities_list,transit_list,gps_coordinates,school_district,building_name,built_date,building_num_units,building_url
1236136,100_eleventh_avenue_#19a,9750000,west_chelsea,manhattan,current,,4,3.5,3076,condo,http://streeteasy.com/sale/1236136,8917.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit bike_room concierge gym green_building live_in_super parking_available swimming_pool community_recreation_facilities storage_available storage_available waterfront deck garden,CE_at_23rd_st_0.49_miles ACEL_at_14th_st_8th_av_0.53_miles 1_at_18th_st_0.64_miles 1_at_23rd_st_0.65_miles 1_at_28th_st_0.71_miles,40.7462 -74.0076,2,100_eleventh_avenue,2007,57,http://streeteasy.com/building/100-11-avenue-new_york
1239154,117_01_park_lane_s_#a4i,325000,kew_gardens,queens,in_contract,,2,1,,co_op,http://streeteasy.com/sale/1239154,921.0,doorman elevator bike_room laundry_in_building live_in_super storage_available dishwasher courtyard,LIRR_at_kew_gardens_0.34_miles EF_at_union_turnpike_0.51_miles EF_at_75th_av_0.7_miles JZ_at_121st_st_0.74_miles LIRR_at_forest_hills_0.83_miles,40.709 -73.8374,28,117_01_park_lane_south,1937,316,http://streeteasy.com/building/117_01-park-lane-south-kew_gardens
1239897,51_10_30th_avenue_#g2,280000,woodside,queens,current,,1,1,,resale,http://streeteasy.com/sale/1239897,510.0,elevator bike_room children's_playroom live_in_super storage_available storage_available courtyard garden,MR_at_northern_blvd_0.36_miles MR_at_46th_st_0.45_miles MR_at_steinway_st_0.72_miles MR_at_65th_st_0.78_miles LIRR_at_woodside_0.88_miles,40.7583 -73.906,,51_10_30_avenue_woodside_ny_11377,1935,966,http://streeteasy.com/building/51_10-30-avenue-woodside
1245819,55_east_9th_street_#2g,650000,greenwich_village,manhattan,current,,studio,1,,co_op,http://streeteasy.com/sale/1245819,950.0,cats_and_dogs_allowed elevator full_time_doorman co_purchase_allowed guarantors_allowed parents_buying_allowed pied_a_terre_allowed sublets_allowed bike_room live_in_super,NR_at_8th_st_under_500_feet 6_at_astor_place_0.16_miles LNQR456_at_14th_st_union_square_0.26_miles L_at_3rd_av_0.33_miles PATH_at_9th_street_station_0.36_miles,40.7318 -73.9928,2,55_east_9th_street,1964,173,http://streeteasy.com/building/55-east-9-street-new_york
1232929,133_water_street_#7d,1295000,dumbo,brooklyn,current,,2,2,1163,condo,http://streeteasy.com/sale/1232929,1181.0,doorman elevator pets_allowed washer_dryer_in_unit bike_room cold_storage concierge garage_parking gym live_in_super parking_available storage_available central_air_conditioning dishwasher storage_available roof_deck terrace,F_at_york_st_0.18_miles AC_at_high_st_0.3_miles Ferry_at_fulton_ferry_landing_0.3_miles 23_at_clark_st_0.46_miles R2345_at_court_st_0.65_miles,40.7034 -73.989,13,133_water_street_133_water_street,2006,52,http://streeteasy.com/building/133-water-street
1232307,211_monroe_street,1288000,bedford_stuyvesant,brooklyn,current,,5,3,3200,multi_family,http://streeteasy.com/sale/1232307,0,garden,G_at_bedford_nostrand_avs_0.3_miles AC_at_nostrand_av_0.37_miles CS_at_franklin_av_0.44_miles LIRR_at_nostrand_avenue_0.52_miles G_at_classon_av_0.57_miles,40.6858 -73.9502,13,211_monroe_street,1899,2,http://streeteasy.com/building/211-monroe-street-brooklyn
1240401,1111_park_avenue_#7b,5525000,carnegie_hill,manhattan,current,,4,3,,co_op,http://streeteasy.com/sale/1240401,5191.0,cats_and_dogs_allowed elevator full_time_doorman gym storage_available fireplace,456_at_86th_st_0.21_miles 6_at_96th_st_0.31_miles 6_at_77th_st_0.66_miles 6_at_103rd_st_0.67_miles BC_at_86th_st_0.79_miles,40.7823 -73.955,2,1111_park_avenue,1925,85,http://streeteasy.com/building/1111-park-avenue-new_york
1236329,229a_scholes_street,1795000,east_williamsburg,brooklyn,current,,6,4,1910,townhouse,http://streeteasy.com/sale/1236329,460.0,pets_allowed washer_dryer_in_unit parking_available patio,L_at_montrose_av_0.11_miles L_at_grand_st_0.19_miles L_at_graham_av_0.45_miles L_at_morgan_av_0.46_miles JM_at_lorimer_st_0.58_miles,40.7093 -73.9395,14,229a_scholes_street,1996,2,http://streeteasy.com/building/229a-scholes-street-brooklyn
1247421,15_hudson_yards_#66b,7935000,hudson_yards,manhattan,current,,2,2.5,2320,condo,http://streeteasy.com/sale/1247421,5486.0,doorman elevator pets_allowed washer_dryer_in_unit,7_at_34th_st_hudson_yards_0.29_miles ACE_at_34th_st_0.47_miles LIRR_at_penn_station_0.48_miles Ferry_at_w_39th_street_ferry_landing_0.51_miles CE_at_23rd_st_0.57_miles,40.7528 -74.0022,,15_hudson_yards_501_west_30th_street,,,http://streeteasy.com/building/15-hudson-yards
1231374,93_rapelye_street_#3d,1100000,carroll_gardens,brooklyn,sold,2016-10-05 00:00:00 -0400,3,2,1125,condo,http://streeteasy.com/sale/1231374,737.0,cats_and_dogs_allowed elevator washer_dryer_in_unit garage_parking live_in_super storage_available central_air_conditioning storage_available balcony courtyard garden,FG_at_carroll_st_0.36_miles FG_at_smith_9th_st_0.48_miles FG_at_bergen_st_0.75_miles FGR_at_4_av_9_st_1.01_miles R_at_union_st_1.03_miles,40.6806 -74.0024,15,653_hicks_street,2004,40,http://streeteasy.com/building/653-hicks-street-brooklyn
